GPA,Gender,calories_day,comfort_food,comfort_food_reasons,cook,cuisine,diet_current,eating_changes,eating_out,employment,ethnic_food,exercise,fav_cuisine,fav_food,food_childhood,fruit_day,grade_level,healthy_meal,ideal_diet,income,marital_status,nutritional_check,on_off_campus,self_perception_weight,sports,type_sports,vitamins,weight
2.4,2,nan,none,we dont have comfort ,2,nan,eat good and exercise,eat faster ,3,3,1,1,Arabic cuisine,1,rice  and chicken ,5,2,looks not oily ,being healthy ,5,1,5,1,3,1,car racing,1,187
3.654,1,3,"chocolate, chips, ice cream","Stress, bored, anger",3,1,I eat about three times a day with some snacks. I try to eat healthy but it doesn't always work out that- sometimes eat fast food and mainly eat at Laker/ Egan ,I eat out more than usual. ,2,2,4,1,Italian,1,"chicken and biscuits, beef soup, baked beans",4,4,"Grains, Veggies, (more of grains and veggies), small protein and fruit with dairy ","Try to eat 5-6 small meals a day. While trying to properly distribute carbs, protein, fruits, veggies, and dairy.  ",4,2,4,1,3,1,Basketball ,2,155
3.3,1,4,"frozen yogurt, pizza, fast food","stress, sadness",1,3,"toast and fruit for breakfast, salad for lunch, usually grilled chicken and veggies (or some variation) for dinner",sometimes choosing to eat fast food instead of cooking simply for convenience,2,3,5,2,italian,3,"mac and cheese, pizza, tacos",5,3,usually includes natural ingredients; nonprocessed food,i would say my ideal diet is my current diet,6,2,4,2,6,2,none,1,I'm not answering this. 
3.2,1,3,"Pizza, Mac and cheese, ice cream",Boredom,2,2,"College diet, cheap and easy foods most nights. Weekends traditionally, cook better homemade meals  ",Accepting cheap and premade/store bought foods,2,3,5,3,Turkish ,1,"Beef stroganoff, tacos, pizza",4,4,"Fresh fruits& vegetables, organic meats ","Healthy, fresh veggies/fruits & organic foods ",6,2,2,1,5,2,nan,1,"Not sure, 240"
3.5,1,2,"Ice cream, chocolate, chips ","Stress, boredom, cravings ",1,2,I try to eat healthy but often struggle because of living on campus. I still try to keep the choices I do make balanced with fruits and vegetables and limit the sweats. ,I have eaten generally the same foods but I do find myself eating the same food frequently due to what I have found I like from egan and the laker. ,2,2,4,1,Italian ,3,"Pasta, chicken tender, pizza ",4,4,"A lean protein such as grilled chicken, green vegetables and  brown rice or other whole grain ",Ideally I would like to be able to eat healthier foods in order to loose weight. ,6,1,3,1,4,1,Softball,2,190
2.25,1,3,"Candy, brownies and soda.","None, i don't eat comfort food. I just eat when i'm hungry.",3,nan,My current diet is terrible. I barely have time to eat a meal in a day. When i do eat it's mostly not healthy.,Eating rice everyday. Eating less homemade food.,1,3,4,2,African,3,"Fries, plaintain & fried fish",2,2,"Requires veggies, fruits and a cooked meal. ",My ideal diet is to eat 3 times a day including breakfast on time. Eat healthy food. ,1,2,1,1,5,2,None.,2,190
3.8,2,3,"Chocolate, ice cream, french fries, pretzels","stress, boredom",2,1,"I eat a lot of chicken and broccoli for dinner, and usually tuna sandwiches for lunch.",I started eating a lot less and healthier because I wasn't playing sports year round anymore.,2,3,5,1,Thai,1,"grilled chicken, hamburgers",4,4,"Protein, vegetables, fruit, and some carbs","I would ideally like to eat more fresh fruits and vegetables. However, its difficult to get to the store all the time to buy fresh.",4,1,4,2,4,1,soccer,1,180
3.3,1,3,"Ice cream, cheeseburgers, chips.","I eat comfort food when im stressed out from school(finals week), when I`m sad, or when i am dealing with personal family issues.",3,1,"I eat a very healthy diet. Ocassionally, i will eat out and get unhealthy food.","Freshmen year i ate very unhealthy, but now it is much healthier because of self control.",2,2,2,2,Anything american style.,1,"chicken, cheesey potatoes, and hot dogs",5,2,A healthy meal has a piece of meat followed by a lot of fruit and veggies,My ideal diet is filled with a lot of fruit and chicken. I also really enjoy eggs any type of way with toast.,5,1,4,1,3,2,none,2,137
3.3,1,nan,"Donuts, ice cream, chips",Boredom ,3,1,I eat whatever I want in moderation.,I snack less,5,2,5,nan,Seafood,3,"Shrimp, spaghetti",4,1,Colorful,The same as it is now.,5,2,2,1,4,2,none,2,180
3.3,1,3,"Mac and cheese, chocolate, and pasta ","Stress, anger and sadness ",3,1,"I eat healthy all the time when possible. I treat myself occasionally. I don't really like the greasy meals, if anything I would eat sweets over the greasy meals.  ",I cook a lot of my own foods back at home so not being able to cook my own healthy choices. I eat more carbs than normal when I'm at college due to the choices given in the cafe. ,3,3,5,1,Italian ,1,"Pasta, Eggs, Pancakes ",5,1,Chicken and rice with a side of veggies. ,"Lots of protein, carbs, and fruits and veggies. ",4,2,5,1,3,1,field hockey,1,125
3.5,1,3,"Pasta, grandma homemade chocolate cake anything homemade ",Boredom ,1,1,i eat very healthy. Maybe eat out 1-2 times a week.,Nun ,2,1,5,1,Orange chicken and chow mani noodles ,1,Chicken,5,3,"Chicken, and veggies ","Chicken, fish ",3,1,2,3,1,1,soccer,2,116
3.904,1,4,"chocolate, pasta, soup, chips, popcorn","sadness, stress, cold weather",3,1,"I am very health concious. I eat many fruits, veggies, and protiens. ",Less meat. ,1,2,5,1,Italian,1,Scalloped potatoes and ham ,5,2,"lean protein, veggies, fruit, complex carbs",More healthy varienty. ,5,2,5,1,2,1,Running,1,110
3.4,2,3,"Cookies, popcorn, and chips","Sadness, boredom, late night snack ",5,1,I focus mostly on proteins and fruits. I eat a lot less vegetables and a few carbohydrates.,I have been eating a lot more salads and soups.,1,3,4,3,Chinese ,3,"Pizza, chicken wings, and corn on the cob ",4,1,A salad with a reasonable amount of dressing and a meat.,My ideal diet would be the proper portions of all food categories. I would also like to eat proteins around my workouts and avoid all deserts.,5,2,2,1,5,1,Soccer and basketball ,2,264
3.6,1,3,"ice cream, cake, chocolate","stress,  boredom, special occasions",2,1,Not as healthy when I am at school compared to home. Still very aware of the nutrition I am taking in.,not as healthy because healthy food goes bad quickly and it is expensive,4,2,5,2,italian,1,"steak, lasagna, crab",5,3,Lots of vegetabls with some grains like rice. Also has lean meat such as fish or chicken.,organic/healthy. fruits and vegetables but still protein to give sustainance. ,5,2,2,2,3,1,intramural volleyball,2,123
3.1,2,3,"Pizza, fruit, spaghetti, chicken and Potatoes  ","Friends, environment and boredom",3,1,"Making sure I have enough protein intake, as well with fibre, vitamins and carbs. ","I knew I would eat alot my freshmen year, before coming to college i had a diet plan. ",2,3,4,2,Chinese ,3,Pizza,5,3,Green and not greasy,"Eat a little less than I usually do, and intaking more protein. ",5,1,2,2,3,1,Hockey,1,185
nan,2,nan,"cookies, donuts, candy bars",boredom,4,1,I like a lot of foods that arent home cooked or healthy for you.,none,4,3,1,1,italian food,2,pizza,3,1,"chicken, veggies, rice",I wish I ate lots of healthy foods like veggies and salads. ,4,2,1,1,2,1,Hockey,2,180
4,1,3,"Saltfish, Candy and Kit Kat ",Stress ,3,nan,I eat very healthy ,More Water ,1,2,2,2,Jamaican ,1,"Curry, Stew Chicken and Saltfish",5,1,"Not too much carbs, a lot of protein, healthy fats and fruits and vegs ",Vegetables and Fruits with Meat ,1,2,4,1,3,2,nan,1,145
3.6,2,3,"chips, cookies, ice cream","I usually only eat comfort food when I'm bored, if i am doing something, i can go for hours without eating ",3,1,My current diet is eggs and a meat every morning for breakfast. For lunch ill usually have some pasta or rice with a meat and sometimes a side of veggies. for dinner i usually eat less carbs and more protein and veggies. ,"I would say i just eat a little more, but not in a bad way. I have unlimited swipes at the cafe so instead of snacking on chips before lunch or dinner i will get something from the cafe.",2,3,4,1,American or Italian ,3,"chicken fingers, steak, mac and cheese",3,1,"for me usually a big piece of chicken or steak with a side of veggies, and i usually have rice with mine as well","I like how my diet it now. However, after my season i am going to cut back on some carbs because i won't be working out as much.",6,2,4,1,2,1,hockey,2,170
3.4,1,3,"Chocolate, ice crea ","Sadness, stress",3,1,I eat lots of fruit and veggies. I eat lots of chicken.,I ate at the food hall.,3,2,1,3,Chicken ,3,Chicken,5,2,Everything from food group ,Lots of fruit and veggies. Lots of chicken.,5,2,2,1,3,2,dancing ,1,135
2.2,2,2,"pizza, wings, Chinese","boredom, sadness, hungry",4,1,Current diet right now isn't very good. I eat at the school's cafeteria and they do not have the best choices.,None really,2,3,3,2,Italian,1,manacotti,2,1,"lots of fruits and vegitibles, not any fried foods",Something that tastes good and also is good for you. This is very hard to find though.,5,1,1,1,4,nan,basketball,2,165
3.3,2,3,"Fast food, pizza, subs","happiness, satisfaction",5,1,"I eat 2 meals a day, lunch and dinner",Late night food,4,2,4,1,Mexican,3,"pizza, chicken fingers",2,2,"Rice, Meat, vegetable",3 smaller meals a day,6,1,2,1,6,1,Soccer,2,175
3.87,2,3,"chocolate, sweets, ice cream",Mostly boredom,3,3,"Random. Not strict diet, changes during season","Less money, less food :(",1,2,3,1,Indian,2,Pasta,3,4,Green and colourful,"Mix of Mexican, Asian, and Italian foods.",6,2,4,1,2,1,Tennis,2,195
3.7,2,3,"burgers, chips, cookies","sadness, depression ",5,2,balanced ,got worse ,1,2,3,1,italian ,1,pasta,4,1,"pasta. veg, water ","fruit, veg and protien ",6,1,3,1,2,1,tennis soccer gym,1,185
3.7,2,3,"Chilli, soup, pot pie",Stress and boredom ,4,1,2 meals a day. Rarely eat snacks. Fairly balanced diet. ,Drink coffee all the time. ,2,2,5,3,Asian ,1,Chicken Nuggets,3,3,"Protein, vegetables, grains ",3 healthy meals a day. No caffiene. ,4,1,2,1,3,1,Gaelic Football,1,185
3.9,1,2,"Soup, pasta, brownies, cake","A long day, not feeling well, winter ",1,1,I eat a lot of chicken and try to cook my own meals as much as possible using a lot of rice and vegetables.,"I watch the amount of ""snacks"" I eat more than I did in high school.",4,3,4,nan,Chinese,1,Spaghetti ,4,3,A healthy meal is a lean meat with mostly vegetables and a starch like brown rice or quinoa.,I would like to be a person to eat a larger vegetable based diet with little to no processed products in my diet especially sugar and salt.,4,2,2,1,4,2,none,2,105
2.8,1,3,"chocolate, ice cream/milkshake, cookies",boredom,3,1,"vegetarian, eat breakfast some days before class, can eat a lot of junk food so I refrain from allowing myself to buy any","none, I have dormed since high school",2,3,2,1,don't have one,3,"Chicken parm, beef stroganof, tacos",4,1,"good portions, lots of color, targets main food groups","healthy, colorful, tasty, room for desserts",6,1,4,1,3,1,Ice hockey,2,125
3.7,2,2,"Chips, ice cream, microwaveable foods ","Boredom, lazyniss ",3,1,"Most healthy diet, but since I'm an athlete have room for some bad foods to burn off quickly ",Tend to eat more fried foods ,2,2,2,1,Italian food ,1,"Chicken Parm, Pizza ",3,2,"A rice, a vegetable, a piece of meat ","Very healthy diet, and to cook at home with organic foods. ",5,2,2,1,2,1,Hockey,2,160
3,2,4,"Chicken fingers, pizza ",Boredom ,4,1,Very healthy. Good balance of proteins and vegetables ,A lot healthier ,2,3,3,1,Mexican ,1,Steak,5,1,"Salad, vegetable, carb, protein ",My current diet,6,2,4,1,2,1,Lacrosse ,1,175
3.2,2,2,"cookies, hot chocolate, beef jerky","survival, bored",2,2,Whats necessary for survival.  ,Too much beef jerky,2,2,2,2,Italian/German,1,"Deer Steak, Buttered Pasta, Garlic Pasta",3,3,"Protein, vegetable and grains",Steak and Burgers,5,1,5,1,3,2,nan,1,180
3.5,2,2,"Tomato soup, pizza, Fritos, Meatball sub, Dr. Pepper","Boredom, anger, drunkeness",3,nan,anything and everything,Eating less vegetables because they are less available to me. ,5,3,5,2,Indian food - samosas are amazing,1,"Crab legs, Mushroom soup, homemade rolls",5,3,"Grilled chicken, mac and cheese, broccoli, apple, milk","Heavy in protein, fruits, and vegetables. ",5,1,2,1,2,2,nan,1,167
4,1,3,"cookies, mac-n-cheese, brownies, french fries, ","stress, boredom, cold weather",3,1,I eat some vegetables almost everyday and fruit a couple of times a week. I eat meat a few times a week. I dont eat fast food and try to limit fried food.,I drink way more coffee and I dont eat at home as often.,3,2,4,2,mexican,2,"french fries, waffles, chocolate",3,4,"whole grain carbs, vegetables, a small amount of protein",I would eat enough fruits and vegetables everyday. I would have home cooked food at least 5 days a week. I wouldnt like sugar so much.,5,2,4,3,3,1,snowboarding,1,115
4,2,3,"chips and dip, pepsi, ","stres, boredom, and nighttime",2,1,"Diet consists of 3000-4000 calories a day well rounded from meats, vegetables, and fruit.",none,2,3,5,2,italian,1,chicken and biscuits,5,2,"4-6 ounces chicken or fish, side of potatoes, and green beans","diet of 1500-2000 calories of white meat, vegetables, and fruit that are all fresh and not processed",4,1,4,4,4,2,none organized,1,205
3.4,2,3,"Grandma's Chinese, Peruvian food from back home, and sushi",Hunger and Boredom ,5,nan,"Not that balanced, but I try not to eat fatty or fried foods.",I eat more junk food now.,3,2,5,nan,Spanish,nan,"Spaghetti, Chicken, Won Tons",4,4,Plenty of greens and lean proteins,"Plenty of protein, carbs from vegetables and fruits, and healthy fats.",5,1,4,1,4,1,Soccer,1,nan
2.8,1,3,"Ice cream, cookies,  Chinese food, and chicken nuggets ","boredom, sadness, and if it has a good taste. ",4,2,I eat a a lot of carbs from pizza and pasta. I also eat a lot of cookies. ,I eat more junk food,2,3,4,3,Italian ,1,"Chicken Nuggets, Mac and Cheese, and pasta",3,1,A balance of vegetables and cooked lean meat.,my ideal diet would be more fruits and vegetables. Also less desserts. ,3,1,4,1,3,2,nan,1,128
3.65,1,3,"french fries, chips, ice cream","boredom, stressed, sad",4,1,egan dining,poor,3,3,2,1,French,3,"hamburgers, chicken nuggets ",5,1,a lot of greens,healthy and protien,6,1,4,1,2,1,softball,1,150
3,1,2,"mac n cheese, peanut butter and banana sandwich, omelet",Boredom usually,1,1,"A lot of rice and veggies, eggs for breakfast, chicken is usually the only kind of meat I eat.",My diet is more limited just because of what I have time to make,2,3,2,1,American or Italian,1,"chicken, pasta, stir fry",5,3,"Some kind of protein, a vegetable, and a grain",Pretty much what I eat now,4,2,2,2,2,1,Lacrosse,2,150
3.7,1,3,"pizza, doughnuts, mcdonalds ",boredom,3,nan,"I eat out more often then not. I try to make sure when I eat out it isn't fast food, but instead something healthy like Panera. ",I do not snack as often at school. I find that I'm always busy so sometimes I don't have a lot of time to eat. ,4,2,4,1,Italian or Chinese ,3,"pizza, pasta, grilled cheese ",5,2,"a meal with a meat, vegetable, grain, and fruit ",I wish I had the time and energy to cook more at home on my own. ,6,1,3,1,4,1,Softball ,2,150
3.4,1,4,"chocolate, chips, candy",Stress,2,6,"I do not get to eat as well as I did.  I wish I ate better, but in college it is hard because of money.",I do not eat as many home cooked meals.,2,2,4,3,Italian,1,Pasta,3,4,"A protein, starch, veg, and a healthier dessert. ",I would like to get all of the food groups in each day.  ,6,2,4,1,4,1,Dancing,2,170
3.89,1,3,"chocolate, popcorn, ice cream","boredom, stress",3,1,I eat three meals per day usually. I eat a lot of sandwiches and fruit.,I have eaten bigger meals.,2,3,4,2,italian,1,chicken parmesan,4,4,a lean protein plus the addition of 2-3 fruits and vegetables,My ideal diet would be eating multiple fruits and vegetables at each meal. Also I would only eat lean protein if possible.,5,2,4,1,4,1,Lacrosse,2,150
3,2,nan,"CandyPopChocolate Chipotle Moe's ",No reasons ,5,1,Unhealthy foods from the cafe ,I eat more ,5,3,3,1,Mexican ,1,Chicken and steak ,5,4,Chicken breast with veggies ,"Red and white meats, potatoes, green beans ",6,2,1,2,1,1,Hockey,2,175
3.4,2,3,"Pizza, Ice cream, fries, cereal, cookies  ",Usually if I'm sad or depressed. ,3,1,"I will eat a full bleakest every morning consisting of eggs, potatoes, and a type of meat with juice. I will have a sandwich or something light for lunch. For dinner I will have meat and vegetables of some sort.  ",I eat pretty much the same as I use too. I do have more sweets now though. ,2,3,4,1,Italian ,1,"pizza, ice cream. pop tarts ",3,1,A meal with all of the food groups. ,Idealy I would have basically the same breakfast as I do now just with more fruits. For lunch I would have more vegetables and fruits. For dinner I would have the same.   ,6,1,3,1,2,1,wrestling ,2,140
2.9,1,4,"Ice cream, chocolate, twizzlers ",Tired ,2,1,I eat food ,I do not make my own food very much,4,2,4,1,Italian ,1,Mac cheese ,5,2,a salad with chicken and 2 tablespoons of salad dressing ,I to eat enough food to sustain me throughout the entire day ,3,1,4,1,6,2,nan,1,120
3.6,1,3,"ice cream, cookie dough, cookies, cheese","Boredom!, sadness",4,1,"Light breakfast, yogurt or grandola bar. No luch but (healthy) snacks throughout this time period until dinner. Full dinner with meat, vegetables and fruit.",I do not make my own food,2,2,3,nan,Italian,1,"French Toast, Grilled Cheese, Orange Chicken",5,2,"Grilled chicken, side salad, rice and broccoli and cranberries",Same as above but with a more concrete lunch. Cut down on excessive snacking. ,6,1,1,1,3,2,nan,2,135
3.5,1,2,"ice cream, cereal, and salt and vinegar chips ","All of the above; sadness, boredom and confusion ",3,1,"It needs some re-structuring. Mostly, I eat well but I would like to improve on my water, fruit and veggie consumption. ","Now I prepare my own meals, pack my lunch every day and avoid eating out to save money as much as possible.",1,nan,5,nan,chinese,3,"pickles, chinese food, pizza",4,3,It is probably more on the green side and there is less fryed or overly seasoned food. There would be more organic foods rather than processed foods. ,"My ideal diet involves organic foods, more nuts, fruits, veggies and water and a complete absence of processed foods, genetically enhanced foods or fast foods. My ideal diet would be one that involves foods that are grown by me or close to me and one that is essentially best for my health.",3,2,3,nan,nan,2,no particular engagement ,1,100
3.2,1,4,"Potato chips, ice cream, chocolate, cookies","Stress, boredom, craving",1,1,"I am on a very balanced diet, eating 4-5 small meals a day filled with fruits, vegetables, lean meat, and good carbs. ","I haven't changed much. If anything, I have become more disciplined. ",2,2,5,1,Thai food,1,"Mac and Cheese, Hot Dogs, Grilled Cheese",5,4,Mostly green!,"My ideal diet would be to be a vegetarian; however, considering my highly active lifestyle island strength requirement I need as much ""real"" protein I can get. ",5,1,4,2,3,1,Volleyball,1,170
3.605,1,3,"Mac and cheese, fried chicken, cornbread ","Hunger, boredom",3,1,"Healthy, includes many fruits and vegetables. Probably too many carbs. ",I eat smaller portions more often,2,2,5,nan,Greek,1,"Hamloaf, tuna fish salad, mac and cheese ",5,2,Colorful ,"The same as my current diet, maybe less carbs. ",6,2,2,1,1,2,none,2,113
3.8,2,2,"popcorn, chips, candy, & fries ","sadness, boredom, & anger ",3,1,At school I eat a lot of pizza or burgers with fries. Occasionally I try to have a salad or a fruit juice with this. I also try to eat more of a home cooked meal with vegetables.,Eating more pizza and burgers or fast food.  ,2,2,4,2,Italian ,1,"chicken soup,  perogies, & roast beef  ",4,1,A meal that you have cooked yourself without a lot of grease or fat in it.  ,More of a home cooked meal that is not very greasy. Also includes more fruits and vegetables. ,4,1,3,1,3,1,soccer ,2,168
2.8,2,nan,"Chex-mix, Wegmans cookies, Cheez-Its ","Boredom, happiness, distraught ",4,1,lots of pasta and carbs along with lean meats. Also at time some soda and junk food,Cereal became an anytime of day food,2,nan,3,1,Italian ,3,"lasagna, meatloaf, pizza",5,1,"good balance between meats, grains, fruits, vegetables, carbs, and dairy products ",To cut out the junk food and eat more meat and less pasta. Also eat more fruits and vegetables  ,6,1,2,1,2,1,wrestling & rowing,2,145
3.5,2,nan,"pizza, ice cream, chips","stressed, upset, or just craving a cheat meal",4,1,"My current diet consists of cafeteria food, which isn't necessarily ideal. I try to eat as healthy as possible but I find myself turning to unhealthy food more often than healthy.",Transitioning from home-cooked meals to cafeteria food,2,3,4,1,Asian ,1,"Tacos, Spaghetti, and Roast",5,2,one that is well balanced and consists on main food groups,One that consists of a lot of mean and also fruits and vegetables. Drink a lot of water as well.,5,1,3,1,1,1,Wrestling,1,155
3.83,2,3,"fried chicken. mashed potatoes, mac and cheese",They taste better than other food. They are a pickme up. They are easy to make,3,2,I eat alot carbs. Protein (meat) is beautiful.,I definitely eat less veggies. ,2,nan,3,2,Italian ,1,"mac and cheease, mashed potatoes, salmon",3,3,lots of green and color.,I would eat more veggies with a equal balance of carbs and protein. More international flavors would be great.,3,2,2,1,1,2,none,2,150
3.6,2,3,"Popcorn, Chex Mix, Pizza","Stress, boredom",5,1,Healthier than most but not 100% clean.,I have started eating a lot healthier.,2,3,2,1,American,2,Pizza,4,3,"Balance of veggies, white meat, fruits, and grains.","No artificial sugars, only natural foods.",1,1,5,3,3,2,nan,2,169
3.3,2,4,Burger,Lazy,3,1,Great ,Mediocre ,3,3,5,1,All ,1,Steak ,5,2,Chicken ,Organic ,6,1,5,1,2,1,Hockey,1,185
3.3,2,4,"Pizza, chocolate, and ice cream ","Boredom, sadness and anger ",1,1,My diet is mostly chicken rice and veggies. I mix in fruit between workouts and snacks like power bars and what not. ,I eat very bad on the weekends. ,5,nan,4,1,Mexican ,1,"Grilled chicken, pasta, and turkey ",5,2,Low carbs and high protein ,One that maintains my goal weight. But also produces enough daily energy. ,5,1,5,1,2,1,Lacrosse ,2,200
3.292,2,nan,"fries, chips, fried chicken, pizza, grapes","Boredom, sadness",4,1,65 and out,nan,3,nan,3,nan,Sub sandwhiches,3,"Chicken, Pizza, Cherry tomatoes",4,4,"Grilled, natural ingredients, and no carbonated beverages",Blend of instant gratification and healthy choices sourced sustainably,3,1,1,3,4,2,nan,1,265
3.5,2,3,"peanut butter sandwich, pretzals, garlic bread","stress, anger and boredom",1,2,Very healthy and clean. A lot of protein and vegetables,I eat a lot more healthier,3,3,5,1,Italian,1,Chicken Alfredo,5,2,High protein and vegetables,Clean diet. High protein intake.,6,1,4,1,2,1,hockey,1,165
3.35,1,2,"chips, dip, fries, pizza","bored, stress",3,nan,What ever the dinning hall is serving. When i am hungry i look for something filling more then healthy. ,when i eat has changed alot. I have to eat at a certain time everyday or the dining hall wont have food.,5,3,3,1,italian,1,steak and cheesy potatoes,4,1,"the different colors of the rain bow. protein, fruit, veggies",My ideal diet is to eat less fast food in a week. Also to add something healthy like salad  to every meal or to have a salad for a meal. ,3,1,3,1,3,1,softball,2,192
3.8,2,4,"Pizza, Ice Cream, Chicken Wings",I usually only eat comfort foods when I am bored. I will also eat them when I am happy to celebrate and then when I am sad to comfort me.,3,1,I usually eat very healthy. I incorporate fresh fruits and vegetables into every meal.,I have begun to eat more fruits and vegetables because I have been more aware of my physique.,4,3,5,1,Thai,1,Meatloaf,5,4,Low protein and carbs and high in vegetables and fruits.,My ideal diet is to cut back on my meat intake and substitute it for other protein sources such as fish or tuna.,6,1,4,2,2,1,Hockey,1,175
2.8,1,4,Pizza chocolate chips bagels ice Capps ,Just cause ,2,1,I eat very heathy on a daily basis ,Really paid more attention to what I eat cause it is easy to gain ,3,2,2,1,Wraps ,3,Pizza pasta and quesadillas ,4,2,Chicken and broccoli ,"Fruits and vegetables, wheat bread, peanut butter, protein bars, protein shakes ",5,1,5,1,2,1,softball,1,140
3.5,1,3,"Chocolate, ice cream, pasta","Stress, boredom, sadness",1,2,"For breakfast I have oatmeal. For lunch I have a sandwich and fruit. For dinner I usually have a piece of meat, rice or pasta, and a vegetable. ",More easy meals like pasta.,2,2,5,2,Mexican,1,Steak,5,3,"Fruit, vegetables, and protien",Ideally my diet would be similar to what I eat now. If I wasn't on a college budget I could spend more money on nicer meat and vegetables which would make my meals a lot better.,5,1,2,2,3,1,Skiing,1,155
3.7,1,nan,Mac n Cheese. Chips and salsa. Ice cream. ,Boredom. Celebration. ,2,1,Simple breakfast of cereal or yogurt. Lunch is something like a deli meat sandwich. Dinner is a full meal. Veggies meat and starch. ,More snacking ,2,3,5,nan,Italian ,3,Mac and cheese ,5,4,Proper serving sizes of almost anything ,Less cheese than I eat. ,6,1,2,2,3,1,skiing ,2,155
3.6,1,4,"peanut butter, dessets, pretzels. ","Sadness, boredom, lonely.",2,1,"My diet consists of fruits, vegetables, grains, dairy, and proteins.",At first I ate less but now that I'm in season playing a sport I eat more.,5,3,5,1,Mexican ,1,lasagna,5,1,Half the plate fruit and vegetables. Other half grains and protein. Then a little dairy. ,The way I eat now I think is pretty good.,6,1,4,1,2,1,Water polo and running ,1,135
Personal ,1,2,"Macaroons, truffles, peanut butter n chocolate ice cream","I do not really eat ""comfort food"" but I guess sadness, special occasions, and anxiety ",2,nan,"My diet is pretty healthy and consists of chicken, turcky, and veggies. I rarely eat unhealthy food or fast food.","I have gotten healthier with my eating habits. As a result my parents starting eating healthier too, even though I do not live with them.",2,2,4,2,Mexican ,2,Chocolate,3,4,"chicken, veggies, fruit, water ","My ideal diet would be to add more fruits and veggies. Also, to go to the gym more but school gets in the way. ",4,2,4,3,2,2,nan,1,118
3.9,2,4,"ice cream, cookies, ice cream","boredom, sadness",3,1,I try to eat as healthy as possible. 3 meals a day that are well-balanced.,As an athlete it is important to fuel my body with important foods only.,5,2,2,1,Italian,1,"Pizza, Pasta, Chicken",4,4,"high protein, low fat, low carbs and sugar","High protein, low fat",6,1,4,1,2,1,Ice Hockey,1,210
2.6,1,4,"carrots and ranch, pretzels, dark chocolate ",sadness,3,2,"High in protein, fruits, and veggies. Low in fats.",nan,4,3,5,1,Italian ,1,"chicken tenders, pasta, mac&cheese ",5,3,"high protein, fruit, veggies, low carbs and fat",My ideal diet is my diet. ,5,2,4,1,2,1,rowing ,2,180
