GPA,Gender,calories_day,comfort_food,comfort_food_reasons,cook,cuisine,diet_current,eating_changes,eating_out,employment,ethnic_food,exercise,fav_cuisine,fav_food,food_childhood,fruit_day,grade_level,healthy_meal,ideal_diet,income,marital_status,nutritional_check,on_off_campus,self_perception_weight,sports,type_sports,vitamins,weight
3.5,1,3,"cookies, nutella, ice cream, coffee, fruit ","Bordem, happiness, sadness",1,1,"I eat fruit and vetagables with every meal. I only drink water, no soda. I tend to stay away from greasy food. ","I ate more junk food, but also more fruit. ",3,2,4,1,Chinese cuisine (General Tso's),3,"chicken stir fry, spaghetti, chicken parmesan ",5,2,Meal prep'd foods with food from each section on the food pyramid. ,"I want to eliminate all the junk food I ate. Besides that, I want to keep my diet the same. ",2,2,4,1,4,1,Volleyball,1,140
3.2,1,nan,mac and cheese,boredom,2,2,"I don't follow a diet, I eat whatever I want","I snack more, having fewer full meals",3,3,3,2,Italian,3,"Mac and Cheese, Chicken nuggets",3,2,vegtables,"No, diet",6,2,1,1,2,2,None,2,112
3,1,3,"Chocolate, Popcorn, Icecream",sadness,2,1,"My current diet usually includes at least one serving of vegetables per day, and I usually am eating fruits and whole grain things. ","I eat more fried food, such as french fries.",2,3,3,nan,American ,1,Mac and cheese ,5,1,"Milk for a drink, meat, a grain, vegetable, fruit for dinner",My ideal diet is my mom's home cooking. It's always healthy and organic. ,4,2,4,1,2,1,tennis  ,1,125
3.6,1,2,"Ice cream, cake, mozzarella sticks, pierogies ",Boredom,4,1,I typically try to eat healthy but being away at school makes it harder. I try to avoid junk food as well and trying to only eat it on the weekends.,I eat a lot less than I did at home but find myself snacking more than actual meals. ,3,2,5,2,Italian ,1,"Mac&Cheese, Chicken Nuggets ",5,2,"It has protein, vegetables and some carbs ",I would like to get more protein in me. I would also like to eat healthier more consistently rather than here and there. ,5,2,2,1,2,1,"Recreational Basketball, Equestrian Team",2,144 lbs
3.2,1,3,"Chips, Mac and cheese, pizza, French fries ","Stress, sadness, bored ",3,1,My current diet is balanced and includes food from all the food groups. ,I don't eat as healthy because there aren't as many healthy options at the dinning hall. ,1,3,4,1,Italian ,1,"Pasta, pizza, meatballs ",5,1,"Balanced between protein, veggies, and carbs",My ideal diet is a diet that makes me feel good but also allows me to eat junk food once in a while. ,6,2,3,1,3,1,soccer,2,145
3.67,1,4,"Pizza, burritos, slim jims","Boredom, stress, and it tastes good",2,nan,I am not vegetarian. I love red meat like steak and salami. I try to limit the amount of carbs I eat,Freshman year I did not watch my diet at all and really let myself go. I ate pizza and fries for almost every meal. Summer following freshman year I knew I needed to stop doing that so I cut out as many refined carbs as I could and try to eat healthier portions.,2,3,2,2,Italian,1,"Steak, Garlic and butter noodles, schnitzle",3,3,"Well portioned meat, veggies, and fruits. Water instead of a sugary drink like pop. ",My ideal diet would be cutting out red meats and sticking to leaner meats like turkey or chicken. Also keeping refined carbs out of my diet would be ideal.,6,2,4,2,3,2,None,1,130
3.73,1,3,"Broccoli, spaghetti squash, quinoa, and grilled chicken","Bad day, bored, sadness",3,1,Healthy and light,I don't eat as often,1,2,5,2,Italian,1,Pizza and Spaghetti,5,3,"A vegetable, a protein, and a fruit",Healthy and light,3,2,2,1,3,1,Rec Volleyball,1,140
4,1,nan,"Chocolate, ice cream, cookie dough","Boredom, being in your period, and long bus rides for softball",2,1,"My meals consist of a vegetable, a meat and usually a carbohydrate. I eat a lot of fruit and snack in between meals on little things.",I tend to snack more and have smaller meals.,1,2,5,1,Italian ,1,Spaghetti ,5,3,"A balanced meal with a protein, carbohydrate and a vegetable.","I would like to eat less carbohydrates, such as pasta and breads. I wish I knew how to incorporate healthier alternatives to the foods I eat.",5,2,4,1,4,1,Softball,1,140
3.1,2,3,"pizza, pretzels, fruit snacks, deli sandwhich","boredom, anger, happy",3,1,I eat somewhat healthy. The food at egan is not the best.,I eat a lot less and more junk food.,1,2,4,2,Lean,2,Pizza Mac n Cheese Pasta,5,1,salad,I would like to consume a lot more meat and protein. I want to consume more fruit.,5,1,2,1,3,2,nan,1,140
2.71,2,2,nan,nan,2,4,nan,nan,1,3,3,2,nan,2,nan,4,3,nan,nan,3,4,2,2,3,2,nan,2,nan
3,1,3,"mac and cheese, potato soup, ice cream, chips and cheese","sadness, stressed, boredom",3,1,I normally eat a salad every day. I try to get at least every food group into my diet,I do not eat as many fruits and vegetables as I normally would as being home even though i do eat them still,2,2,5,1,italian ,1,"salad, chicken, pizza",5,1,"grilled meat, fruit, vegetable, and some grains",Eating all fruits and vegetables. Staying away from all the unhealthy foods.,5,2,4,1,3,2,I danced in high school,1,120
3.7,1,3,"chocolate, pizza, and mashed potatoes",boredom and stress,2,1,Current diet is rather poor.  I eat a lot of chicken and carbs.  I also tend to eat a lot of desserts.,"I eat less healthy breakfast now, usually just grab something quick like a granola bar.",2,2,2,2,american ,3,"pizza, mashed potatoes, chocolate chip cookies",4,4,a plate that has a variety of colors not just one color,"My idea diet would consist of eating more balanced diet consisting of fruits, vegetables, and meat.  I would like to not eat so much unhealthy junk food/desserts.",3,1,3,2,4,1,horse back riding,2,150
3.1,2,2,Pizza cookies steak ,Boredom comfort hunger ,2,1,Meat carbs and candy ,Expansion of eating variety ,2,2,1,2,American ,2,Pizza and wings ,3,4,Meat and potatoes ,Meat carbs and candy ,3,2,1,1,3,1,Basketball ,2,200
3,1,3,"chocolate, fruit, and ice cream","stress, boredom",2,1,"At school its hard but usually a granola bar and fruit for breakfast, a wrap for dinner or lunch, and then veggies and hummus.",not going to Egan every meal maybe once a day,2,2,3,1,Japanese,1,"tacos, pizza, chicken wing dip",5,2,"good portions of fruit, protein, veggies and carbs",To eat moderations of every food group each day and no processed food,5,2,4,1,3,1,competitive skiing,1,135
3.9,2,3,Chips sweets popcorn,Boredom,5,1,No diet. I eat what makes me feel good,More coffee less water ,1,3,5,1,Chinese,1,Sloppy joes,5,1,All food groups,Whatever makes me feel good. Doesnt cost a fortune. ,6,1,4,1,2,1,"Rowing, Running, and Cycling",2,145
3.4,1,2,"Cookies, burgers, chicken noodle soup, ice cream","happiness, hunger, sadness",3,1,If there is berries I will eat them.  Eat any kind of pasta.  Hate cooked vegetables,Less fruits and veggies,3,2,4,2,Italian,3,"Spaghetti and Meatballs, Steak, and Burgers",3,1,"All of the food groups(carbs, veggies, fruits,etc)",More fruits and Veggies.  Less carbs,4,1,2,1,3,2,nan,1,130
3.5,1,3,"cake, French fries, chicken nuggets","boredom, sadness",3,1,"I eat fruits, dairy and carbs ",convenience food ,3,3,4,1,Italian,1,"chicken fingers, pasta, pizza",4,4,all elements of food pyramid,a colorful diet,4,2,2,1,4,1,softball and basketball,2,190
3.7,1,nan,"pizza, ice cream, cookies",boredom,nan,1,I eat two-tree meals per day. Always eat a breakfast. ,Food is not as healthy. ,5,3,4,1,Italian,1,spaghetti and tacos,3,3,lots of colors,A good breakfast. A healthy lunch and dinner.,3,1,3,1,3,1,wrestling,2,170
3.7,1,3,"Mashed potatoes, pasta","Boredom, sadness, or with friends ",2,1,I eat healthy as well as unhealthy. I try to keep a balanced diet but often eat junk food with friends.,Eating at Egan or the laker has definitely made me gain weight because every time I go home and eat I lose weight. ,2,nan,5,nan,Any type of Colombian cuisine,1,Spaghetti or  chicken panini sandwich ,4,1,Has fruits vegetables and or some type of meat ,Delicious but also very healthy for you. Low in carbs but does not delete carbs all together.,1,nan,3,1,3,1,Marching Band,2,127
3.83,1,3,"Pasta dishes, Cheesecake, Pancakes","Sadness, Loneliness, Boredom",1,1,I eat a paleo based diet high in protein and low in fat. I stay away from processed foods as much as I can.,"Huge changes have occurred. I eat far healthier, less processed  food, less dense carbohydrates and way more vegetables and fruits.",2,3,5,1,Mexican cuisine,3,Spaghetti and Pop-tarts,5,2,Mostly vegetables and plenty of lean protein and healthy fats to keep you full,Staying away from processed foods completely and incorporating more plant proteins opposed to meat proteins would be ideals.,5,2,5,1,2,1,Collegiate Water Polo,1,167
2.6,1,3,"Ice cream, pizza, cookies",Mostly Stress,3,1,I try to eat something light for breakfast like cereal or an apple. For lunch I eat sandwiches or pasta also something somewhat light and I eat however much I'm hungry for at dinner. Sometimes I try to be healthy with a salad or something and then I get dessert ,I eat way too often and way too much x,3,2,3,3,Asian,3,"Pasta, breakfast for dinner, pizza",5,1,"Lots of Greens, meat and water","Healthy smoothies for breakfast, healthy sandwich for lunch. For dinner, something wholesome and also healthy. Then a light dessert.",6,2,3,1,3,2,None right now,1,140
3,1,3,"Chinese food, moes, sponge candy, homemade lasagne ","boredom, sadness ",2,1,Eat fruits and vegetables daily and with almost every meal. Diet mostly consists of meat as well. ,Less snacking ,1,3,4,2,Chinese food,3,"peanut butter and jelly, celery and peanut butter, hot pockets ",5,1,Small portion of meat with majority fruits or vegetables ,More organic food. Want to try and add more seafood into my diet.  ,6,1,5,1,4,1,"volleyball, lacrosse",1,190
3.2,2,3,"pizza, pasta, mac and cheese",when i am sad or craving,4,1,I try to eat healthy but sometimes drink soda pop and I enjoy desserts. harder to eat healthy when I am at school. ,"less healthy because of less options, money and time.",2,2,3,1,mac and cheese,2,pizza,4,2,lots of variety and veggies,Eating healthy with lots of water and natural foods. ,6,1,2,1,4,1,field hockey,1,155
3.5,2,4,"Little Debbie snacks, donuts, pizza",None,nan,1,High protein and high carbs with fruits and vegetables as needed,Willingly eating vegetables ,1,2,5,1,Mexican,1,"Quesadilla, chocolate, steak",4,3,"High protein, high carbs , vegetables ",Same as current diet ,2,1,5,1,2,2,nan,1,175
3.2,1,3,"carrots, plantain chips, almonds, popcorn ","stress, boredom, college as whole ",3,nan,"i currently eat a lot of salad, but do not eat 3 times a day nor eat breakfast ",I have been eating healthier especially vegetables and proteinous food ,2,2,5,1,Authentic Chinese and Vietnamese food ,1,"Jollof Rice, Bread, pasta ",5,3,"Healthy meal for me is a food rich in protein, fiber, some sort of carbohydrates",it would be a vegetarian diet without any red meat ,3,1,5,1,3,2,none ,1,129
3.68,2,4,"chips, ice cream, fruit snacks",boredom,4,nan,I used to eat whatever but since i've come to college i try to eat fruits and vegetables everyday. I also avoid fried foods.,i eat healthier all around,2,3,3,1,italian and chinese,1,"Chinese food, pizza, chicken adobo",5,1,"half a plate of protein, quarter of a plate of carbs and the other quarter fruits or veggies.","My ideal diet would be no processed food or fried food. Also, very low in excess carbs and high in protein.",6,1,2,1,4,1,Fotball,1,260
3.8,1,2,"Macaroni and cheese, chicken noodle soup, pizza",Boredom and stress,2,1,I eat very basic foods like pizza and pasta. I don't try many new things. ,"Home cooked meals and a lot more difficult to have at college. It's typically quick, on the go foods. ",3,2,2,2,American,3,"Pasta, chicken, pizza ",2,3,Very colorful and smaller portions of the unhealthy food with larger portions of vegetables ,Ideally I would eat more fruits and vegetables in my diet along with some junk food. ,6,2,3,2,3,2,crew,2,135
3.3,2,nan,"Chocolate, Chips, Ice cream, French Fires, Pizza","Stress, sadness, boredom",2,1,My diet consists of high levels of meats with some vegetables. Coexisting with varying levels of sugars ,I have increased the amounts of vegetables I eat due to the unhealthy options in our dining halls,5,2,1,3,Barbecue ,1,"Steak, Chicken Tenders, Pizza",1,3,Chicken Salad with Pita Chips,A balance between meats and vegetables with less sugar,3,2,2,1,4,1,"Football, Basketball, Volleyball, Golf",2,190
3.2,2,nan,"Mac and cheese, lasagna, Chinese food ","Boredom, sadness",4,1,Very poor. Heavy carb consumption. ,I eat alot of carbs and eat much more frequently,2,3,5,3,Italian,1,"Spaghetti, Italian potato soup",4,1,"Fruits, vegetables, meat ","Alot of fruits and veggies. Meat and bread. Water, because hydration is important kids",4,1,1,1,3,2,nan,2,165
3.75,2,3,"candy, Chinese, mcdonalds",laziness and hungover,2,nan,Complete diet. protein vegetables and carbs,I eat whatever is offered at egan or at the laker,2,nan,5,1,lebanese or greek,1,"steak, spaghetti, salmon",5,4,steak or salmon with broccoli or asparagus and brown rice or quinoa,High protein with lots of vegetables and fruit,6,2,4,1,3,1,"hockey, soccer, golf",1,175
3.5,2,nan,"Doritos, mac and cheese, ice cream","Boredom, hunger, snacking.",3,1,"I eat usually 2 times a day, either breakfast and dinner or lunch and dinner.  I feel that is enough for me.",Food is readily available so I don't have to cook so it's easier to eat a lot.,2,3,4,1,American,3,Macaroni and Cheese,4,3,a balance of Meat and vegetables,I like the diet I have now.  I could eat 3 times a day but I feel healthy as is.,5,2,3,1,2,1,Wrestling,2,184
3.92,2,3,"Ice cream, cake, pop, pizza, and milkshakes.","Happiness, sadness, celebration.",2,2,Currently whatever Egan has at the moment.,I've eaten more fruits and vegetables. Started eating seafood.,2,2,4,2,Italian,3,Pizza,3,1,Modest proportions of many different food groups.,"Variety of fruits, vegetables, and meats in healthy proportion.",6,1,2,1,6,2,Soccer,1,210
3.9,1,3,"Mac and Cheese, Pizza, Ice Cream and French Fries ","Boredom, anger and just being hungry in general.",3,1,I try to maintain a healthy diet. I always try to eat foods that are beneficial to my health and that will impact me in the long run.,Coming to college I definitely have tried to change my eating habits in order to maintain my weight and be more healthy. ,2,2,3,1,Italian,1,"Chicken Parm, Spaghetti, and Grilled Cheese",5,2,It combines a protein with other elements of the diet such as vegetables and other items that support the body.,"I want to aim to eat foods that are healthy and nutritious. Since I workout a lot, I want to eat foods that will replenish the nutrients my body needs in order to function. ",5,1,4,1,3,1,Running ,2,155
3.9,2,3,"Soup, pasta, cake","Depression, comfort, accessibility ",4,6,Somewhat unhealthy. This is due to my hectic work and school schedule.,When I was on campus (which I am not anymore) I ate way more fruits and vegetables since I had easy access to them.,5,3,5,2,Italian,nan,"Chicken parmigiana, wedding soup, pasta",5,4,"Well balanced with protein, fruits, vegetables, starch, etc.",My ideal diet would be one that is well balanced. It would include lots of fruits and vegetables.,6,2,3,4,4,1,Tennis,1,185
3.2,1,4,"mac & cheese, frosted brownies, chicken nuggs","they are yummy, my boyfriend sometimes makes me sad, boredom",4,2,"i drink alot of lemon water, and milk. i also eat ice cream frequently after dinner. but i also eat lots of fruits and veggies",eat more salads,3,2,3,nan,italian,1,"chicken, macaroni & cheese, cheesy potatoes",5,1,"lean meat, fresh fruits & veggies",ideal diet would be less sweets and carbohydrates. ,4,2,2,1,3,1,softball,1,165
3.5,1,3,"watermelon, grapes, ice cream","Sad, bored, excited",3,1,I typically eat very healthy. i consume fruits and vegetables in about every meal. ,I consume a lot more grapefuit since I've come to college. The meals here are also more greasy than I am used to. ,2,2,5,2,Italian ,1,"Spaghetti, Tuna noodle casserole, Italian sausage",5,1,"water, fruits, vegetables, protein, carbs","Although I don't eat junk food very often, i would love not to have those days where I eat a lot. ",2,2,2,1,2,1,"Volleyball, Track",2,125
3.4,1,nan,"macaroni and cheese, stuffed peppers, hamburgers, french fries","boredom, stress, mood swings",3,1,At this time it is very touch and go. Some days I live on sandwiches and ice cream while other days I eat lots of fruits and vegetables. ,I eat a lot more carbs than I did when I lived at home.,2,2,5,3,sushi,3,"chicken nuggets, macaroni and cheese",5,1,More vegetables and fruits as opposed to meat and bread/potatoes,"If at all possible, I would like to be able to eat a lot healthier. I would like to eat more fruits and vegetables with the hope of eventually going vegetarian.",5,1,4,1,5,2,nan,2,160
nan,1,4,"Pizza, mashed potatoes, spaghetti","Anger, sadness",2,1,"A very healthy diet. Avoiding junk foods, and any white breads. ","Avoiding ""easy options"" such as junk foods ",3,3,5,1,Italian,3,Pizza,5,2,"A protein, veggies, and a carb","A very healthy diet, with the occasional splurging on junk foods. ",nan,1,5,1,4,2,nan,1,135
3.7,1,3,"dark chocolate, terra chips, reese's cups(dark chocolate), and bread/crackers with cottage cheese","Anxiousness, watching TV I desire ""comfort food"" ",2,1,I have been eating mainly proteins and some fruits and vegetables every day with some less healthy snack foods.  ,"Coming to college I have ate less well colored meals each day due to lack of income and desire to save money. I used to eat more fruits and vegetables, more chicken and salmon, now these habits have lightened up and are not as frequent and regular in the week. I have also started eating more bread and dairy products.",2,2,5,2,Indian food,1,Tortellini and Broccoli with parmesan cheese and homemade breaded chicken with sweet potato,5,3,"Salmon, sweet potato, and larger portion, but equally spread of broccoli, squash, zucchini, carrots, and tomatoes.","I would like my diet to fulfill all the colors of the rainbow, with mainly fruits and vegetables as the primary source of intake, and about one fourth intake of proteins, and little to no snacks per day.  ",4,1,4,1,6,2,"When I can, rarely though play pool, darts, and basketball.",1,130
Unknown,1,3,"Chips, chocolate, ,mozzarella sticks ","Boredom, sadness, anxiety",4,1,"High in carbs, but I have recently tried to cut down on fats, salt, and sugars. I choose more organic options as well as more fruits and vegetables. ",I've definitely gotten used to eating more often since I have a fully cooked meal available to me at all the time.  Sometimes I would only eat one full meal and a snack in high school because I was so busy and did not have the time to cook. ,2,2,4,nan,Italian ,3,"Chicken Marsala, Manicotti, Mashed Potatoes",4,1,"Vegetables, white meat, and a starch like potatoes, water, and fruit for dessert ","A low car, low fat diet with no red meat and lots of plant-based things. I would like to cut red meat out entirely and also cut down on processed snack foods. ",5,1,4,1,5,2,None at the moment,1,230
3,1,3,"ice cream, chips, candy","Boredom, laziness, anger",3,1,"Since I am a college student I rarely cook full meals with protein, vegetables and starch. I usually just heat up leftovers from a restaurant or go eat casual food at the dining hall.",I do not eat full meals. Rarely eat 3 meals a day. ,3,nan,4,2,Italian,3,"hot dogs, chicken fingers, mashed potatoes",3,4,"I think a healthy meals includes some kind of protein, preferably meat, vegetables, and a starch such as potatoes or rice","My ideal diet right now would be how it was when I lived at home. I ate breakfast every morning, brought a lunch to school, and had a home cooked meal by my mom that included meat, vegetables and a starch. ",4,2,2,2,3,1,volleyball,2,125
3,1,3,"Pizza, soda, chocolate brownie, chicken tikka masala and butter naan ",Stress and sadness,2,nan,"It is pretty balanced with a diverse mixture of proteins, carbohydrates, vitamins and minerals. Fruits and chicken dominate my diet. ","I have been drinking more water. Since college, I've been more conscious about my diet and incorporated more fruits on my diet. ",5,nan,5,2,Nepali,1,"Chicken Biryani, Dad's burgers, Chicken curry",5,1,A healthy meal constitutes of balanced diet with fruits and veggies dominating the plate. ,My ideal diet would getting to eat small portioned meals in every 2-3 hours. ,1,1,4,1,4,2,None,2,130
3.8,1,3,"Chocolate, Pasta, Cookies","I am always stressed out, and bored when I am in my apartment. ",2,1,I try to eat a balanced meal. I refrain from anything too fatty. ,My diet could improve now. I have been eating more than I should.,2,2,4,1,I really love italian food and thai food,3,dino chicken nuggets,4,2,To me a healthy meal is balanced and ,I would like to try to eat vegan. ,4,1,2,1,4,2,I used to play softball ,2,165
3.8,1,2,"Candy, salty snacks, toast","Stress, sadness, boredom",5,1,moderately health conscious ,Late night snacking,2,3,2,1,Italian,2,Spaghetti and chicken parm,5,2,"equal portions of carbs, proteins and fruits/veges","Small portions, healthy foods",6,2,4,1,3,1,Ice hockey,2,128
3.4,1,3,"Mac in cheese, pizza, mozzarella sticks ","Stress, frustration, self-consciousness ",2,1,"protein, carbs, less fruits and vegetables, some sweets ",I snack less and eat smaller portions ,3,2,2,3,Italian ,2,Chicken parm. ,4,2,Salad with chicken and vegetables with a raspberry vinaigrette ,Much more vegetables and lean protein,6,1,4,1,5,2, None,1,200
3.7,1,3,"Ice-cream, pizza, chocolate",Sadness and cravings,3,2,I eat at least 2 times a day at the universities dining places. I also sometimes cook myself and try to eat healthy a majority of the time. ,I eat out more. ,4,3,3,2,Italian,1,Spaghetti,3,4,"It includes a protein, vegetable, fruit, and grain. ",I hope to continue to eat healthy and cook more on my own. I want to incorporate more fruits and vegetables. ,3,2,3,2,3,1,Volleyball,2,160
2.9,2,2,"snacks, chips, ",boredom,2,nan,some healthy food and also some not so healthy.,more healthy food,2,2,3,2,nan,1,"Pizza, Pita, Lasagna",3,3,low calories plenty of veggies,more healthy food such as vegetables than bad food such as burgers.,5,1,4,3,3,2,nan,2,170
3.9,1,4,"Chocolate, Ice cream, pizza","Sadness, happiness and boredom",1,1,I eat a lot of proteins and fruit and vegetables. I try to stay away from carbohydrates and sugary foods.,I had to change a lot. I keep track of calories and cut out most breads and wraps.,4,3,5,1,Italian ,3,"Mac & Cheese, Chicken, Stir Fry ",5,4,A pice of meat such as chicken with a side of vegetables and possibly a salad,I wouldn't want or crave any sweets or breads.I would be satisfied with protein and fruit and veggies. ,6,2,4,1,3,2,nan,2,129
3.6,1,2,"ice cream, pizza, Chinese food ",Boredom and sadness,2,1,"My current diet would be considered a ""college diet"". I eat a lot of pizza and ramen noodles. ",They have gotten very bad. I eat a lot more food that I know I should not eat. ,3,2,3,2,Italian ,1,Mac and Cheese ,4,4,"Blackened Chicken, broccoli, and milk",My ideal diet would be a healthy diet. I would eat meats and veggies. ,6,2,4,1,4,2,None,2,170
2.8,2,3,"Burgers, indian and korean food","sadness, happiness and hunger",3,4,Not very healthy,not eating meals on time,3,3,4,2,Korean,3,"Dumplings, Chicken Curry and Pizza",4,2,"Meat, greens and food containing protein",Healthy and tasty,3,2,3,1,1,1,"Tennis, Basketball",2,138
3.3,2,4,"chocolate bar, ice cream, pretzels, potato chips and protein bars.","Stress, boredom and physical activity",4,1,I currently eat an abundance of carbohydrates. I have a low intake of protein. I overly intake calcium.,Eating more dairy due to more ice cream intake.,2,2,2,1,I do not like cuisine,3,"Pasta, Pizza, Popcorn",5,1,Intaking the proper amount of each food group,"My ideal diet would be an equal balance of all the food groups. I would like to eat more protein. Also, i would prefer to cut back on the junk food.",6,2,1,1,2,1,Hockey,2,150
3.4,1,nan,"Ice cream, chocolate, pizza, cucumber ","loneliness, homework, boredom ",3,nan,"It is very unbalance. Mostly fat food, Lack of vegetables.",less vegetable more sweats,4,3,4,2,Chinese ,2,"Fry Chicken, Rice Vegetable",5,1,BBQ Chicken with mash sweat potatoes and steam vegetable with corn and a glass of water.,Very healthy. Freshly done. properly cooked,1,1,2,1,4,2,none,1,170
3.77,1,nan,"Noodle ( any kinds of noodle), Tuna sandwich, and Egg.",When i'm  eating with my close friends/ Food smell or look good/ when I feel tired,3,4,I eat in dining hall of school everyday. I usually have both meat and a little vegetable in every meal. ,"I eat more vegetable. Since coming to college, I started to eat salads and tried to eat salads at least three times a week.",2,2,4,nan,Vietnamese cuisine,3,"Noodle, Wings, and Tiramisu",3,2,Including both vegetable and meat,My ideal diet should include both vegetable and meat. It is not only healthy but also delicious. ,2,1,2,1,4,2,"No, I don't play sport.",1,113
3.63,1,3,"Chinese, chips, cake",Stress and boredom ,3,1,Try to eat as healthy as possible. A few days where fast food comes into play because of classes. ,I try to eat more fruits and vegetables ,2,2,4,2,American ,1,Chinese,5,2,Chicken vegetables and fruit for dinner ,All home cooked. Healthy. Vegetables and fruit. ,3,2,2,3,4,2,None,2,140
3.2,2,3,"chips, rice, chicken curry,","Happiness, boredom, social event",2,5,"My diet is mostly whatever I get to eat in the grotto commons. Sometimes, I eat outside",Started eating a lot of protein rich food that i didnt before.,2,2,5,2,Indian,3,"pizza, burger, pasta",5,4,A diet that is well balanced in most of the nutrients needed for the body.,Healthy balanced diet that tastes well.,2,2,2,1,4,1,Soccer,2,185
3.5,1,4,"wine. mac and cheese, pizza, ice cream ",boredom and sadness ,3,1,"My diet consists mainly of coffee, water, fruits, vegetables, and chicken. I tend to stay away from bread and pasta as much as possible. ","I have noticed there is less time for a prepared meal, so quick and easy has become the norm.",2,1,4,2,Italian ,1,Stromboli Mac and Cheese and Pizza,5,4,mainly protein and vegetables with a complex carb ,"My ideal diet would consist of a majority of what I consume now. I like to think I make pretty healthy choices currently, so it would most likely remain the same.",4,1,5,3,4,1,Softball,1,156
3,1,2,Pizza / Wings / Cheesecake,Loneliness / Homesick / Sadness,3,nan,A college student with an imbalanced diet trying to be healthy.,Eating Pizza as an excuse when there is nothing else to it.,4,3,3,2,Mexican Food,1,"Isombe , Plantains and Ugali",4,4,"A healthy meal is a variety of food , organic food that gives you the nutrients such as protein , carbohydrates , fat , water , vitamins and minerals.",Eating home cooked meals everyday and being able to not eat processed foods at all.,2,1,3,1,4,nan,basketball ,2,180
3.882,1,nan,"rice, potato, seaweed soup",sadness,3,nan,"Rice, oatmeal, and tea",less rice,3,3,5,2,Korean,1,Rice and potato,4,3,lots of vegetables,lots of veggies,2,1,3,1,4,2,none,2,120
3,2,4,"Mac n Cheese, Lasagna, Pizza","happiness, they are some of my favorite foods",3,1,"I try to eat as healthy as possible everyday.  I have fruit, yogurt and a protein shake everyday.  The other foods i eat vary on a day to day basis.",I don't eat as much on a daily basis since coming to college.,5,2,2,1,Italian,3,pizza and spaghetti ,5,1,"A protein, a fruit, a starch, and a salad or some sort of vegetable.",My ideal diet is the diet i am currently on.  The only thing i would change is a little bit less snack/junk food.,4,1,4,1,2,2,nan,1,135
3.9,1,nan,"Chocolates, pizza, and Ritz.","hormones, Premenstrual syndrome.",nan,3,high in protein and low in carbohydrates.,I have learned to eat more vegetables. ,1,2,3,2,HISPANIC CUISINE.,1,"rice, beans, and chicken / pizza/ tenders",3,3,"a cup of rice, vegetables, and meat. ","Being able to balance between sweets, vegetables, fruits, carbohydrates, and fat.",5,2,5,1,3,2,nan,2,135
